country,date,value
United States,05/02/2019,0.431854
United States,05/02/2019,2.85447
United States,05/02/2019,3.91271
United States,06/02/2019,2.85168
United States,06/02/2019,5.23309
United States,06/02/2019,0.170778
United States,06/02/2019,0.41696
United States,06/02/2019,2.95464
United States,06/02/2019,4.27424
United States,07/02/2019,2.83322
United States,07/02/2019,5.27306
United States,07/02/2019,0.188219
United States,07/02/2019,0.434379
United States,07/02/2019,3.00051
United States,07/02/2019,4.24657
United States,08/02/2019,2.83807
United States,08/02/2019,5.27716
United States,08/02/2019,0.188775
United States,08/02/2019,0.450368
United States,08/02/2019,3.54394
United States,08/02/2019,4.25384
United States,09/02/2019,3.15993
United States,09/02/2019,4.5061
United States,09/02/2019,0.196802
United States,09/02/2019,0.388989
United States,09/02/2019,3.95498
United States,09/02/2019,4.73625
United States,10/02/2019,3.05757
United States,10/02/2019,3.37587
United States,10/02/2019,0.194661
United States,10/02/2019,0.349767
United States,10/02/2019,3.77849
United States,10/02/2019,4.58283
United States,11/02/2019,3.03775
United States,11/02/2019,4.63881
United States,11/02/2019,0.191476
United States,11/02/2019,0.402942
United States,11/02/2019,3.43015
United States,11/02/2019,4.55313
United States,12/02/2019,2.9948
United States,12/02/2019,5.20009
United States,12/02/2019,0.178107
United States,12/02/2019,0.399945
United States,12/02/2019,3.2576
United States,12/02/2019,4.48876
United States,13/02/2019,2.93075
United States,13/02/2019,5.00991
United States,13/02/2019,0.171095
United States,13/02/2019,0.416444
United States,13/02/2019,3.33535
United States,13/02/2019,4.39276
United States,14/02/2019,2.80927
United States,14/02/2019,5.23557
United States,14/02/2019,0.189511
United States,14/02/2019,0.451283
United States,14/02/2019,3.05288
United States,14/02/2019,4.21067
United States,15/02/2019,2.65206
United States,15/02/2019,5.1679
United States,15/02/2019,0.194159
United States,15/02/2019,0.468259
United States,15/02/2019,2.96477
United States,15/02/2019,3.97504
United States,16/02/2019,2.75314
United States,16/02/2019,4.49428
United States,16/02/2019,0.20368
United States,16/02/2019,0.409545
United States,16/02/2019,3.33225
United States,16/02/2019,4.12655
United States,17/02/2019,2.77768
United States,17/02/2019,3.36946
United States,17/02/2019,0.20599
United States,17/02/2019,0.351619
United States,17/02/2019,3.52727
United States,17/02/2019,4.16332
United States,18/02/2019,2.7508
United States,18/02/2019,3.38707
United States,18/02/2019,0.194228
United States,18/02/2019,0.407046
United States,18/02/2019,3.58512
United States,18/02/2019,4.12304
United States,19/02/2019,3.22061
United States,19/02/2019,4.92191
United States,19/02/2019,0.190738
United States,19/02/2019,0.445784
United States,19/02/2019,3.86753
United States,19/02/2019,4.82721
United States,20/02/2019,3.41349
United States,20/02/2019,5.21818
United States,20/02/2019,0.178516
United States,20/02/2019,0.414393
United States,20/02/2019,3.6317
United States,20/02/2019,5.1163
United States,21/02/2019,3.1398
United States,21/02/2019,5.19937
United States,21/02/2019,0.191894
United States,21/02/2019,0.448996
United States,21/02/2019,3.28773
United States,21/02/2019,4.70608
United States,22/02/2019,2.95378
United States,22/02/2019,5.21012
United States,22/02/2019,0.199679
United States,22/02/2019,0.458516
United States,22/02/2019,3.23174
United States,22/02/2019,4.42726
United States,23/02/2019,2.97465
United States,23/02/2019,4.52534
United States,23/02/2019,0.205159
United States,23/02/2019,0.407561
United States,23/02/2019,3.14158
United States,23/02/2019,4.45856
United States,24/02/2019,2.53669
United States,24/02/2019,3.37794
United States,24/02/2019,0.208016
United States,24/02/2019,0.374635
United States,24/02/2019,3.01283
United States,24/02/2019,3.80212
United States,25/02/2019,2.59041
United States,25/02/2019,4.51213
United States,25/02/2019,0.199849
United States,25/02/2019,0.414961
United States,25/02/2019,3.38539
United States,25/02/2019,3.88263
United States,26/02/2019,2.9354
United States,26/02/2019,5.09299
United States,26/02/2019,0.193914
United States,26/02/2019,0.446027
United States,26/02/2019,3.39504
United States,26/02/2019,4.39972
United States,27/02/2019,3.05045
United States,27/02/2019,5.1887
United States,27/02/2019,0.182828
United States,27/02/2019,0.452742
United States,27/02/2019,3.27124
United States,27/02/2019,4.57216
United States,28/02/2019,3.04544
United States,28/02/2019,5.16267
United States,28/02/2019,0.19974
United States,28/02/2019,0.46551
United States,28/02/2019,3.37901
United States,28/02/2019,4.56466
United States,01/03/2019,3.15
United States,01/03/2019,4.8317
United States,01/03/2019,0.20106
United States,01/03/2019,0.4688
United States,01/03/2019,3.17958
United States,01/03/2019,4.76659
United States,02/03/2019,3.06252
United States,02/03/2019,4.14236
United States,02/03/2019,0.208912
United States,02/03/2019,0.417421
United States,02/03/2019,3.04983
United States,02/03/2019,4.63421
United States,03/03/2019,2.84187
United States,03/03/2019,3.01738
United States,03/03/2019,0.206739
United States,03/03/2019,0.389824
United States,03/03/2019,3.23604
United States,03/03/2019,4.30032
United States,04/03/2019,2.90521
United States,04/03/2019,4.13186
United States,04/03/2019,0.199321
United States,04/03/2019,0.421186
United States,04/03/2019,3.78695
United States,04/03/2019,4.39617
United States,05/03/2019,3.56511
United States,05/03/2019,4.6614
United States,05/03/2019,0.198944
United States,05/03/2019,0.458926
United States,05/03/2019,3.93903
United States,05/03/2019,5.39473
United States,06/03/2019,3.58026
United States,06/03/2019,4.78274
United States,06/03/2019,0.182986
United States,06/03/2019,0.461096
United States,06/03/2019,3.80376
United States,06/03/2019,5.41765
United States,07/03/2019,3.39522
United States,07/03/2019,4.766
United States,07/03/2019,0.201416
United States,07/03/2019,0.477711
United States,07/03/2019,3.4728
United States,07/03/2019,5.13765
United States,08/03/2019,3.13217
United States,08/03/2019,4.80353
United States,08/03/2019,0.207071
United States,08/03/2019,0.482211
United States,08/03/2019,3.12389
United States,08/03/2019,4.7396
United States,09/03/2019,2.91794
United States,09/03/2019,4.1317
United States,09/03/2019,0.209577
United States,09/03/2019,0.433103
United States,09/03/2019,2.86612
United States,09/03/2019,4.41544
United States,10/03/2019,2.42086
United States,10/03/2019,3.14504
United States,10/03/2019,0.209405
United States,10/03/2019,0.438708
United States,10/03/2019,2.66144
United States,10/03/2019,3.66326
United States,11/03/2019,2.49883
United States,11/03/2019,4.22346
United States,11/03/2019,0.207126
United States,11/03/2019,0.45995
United States,11/03/2019,2.64957
United States,11/03/2019,3.78123
United States,12/03/2019,2.77705
United States,12/03/2019,4.67756
United States,12/03/2019,0.20012
United States,12/03/2019,0.473091
United States,12/03/2019,2.68344
United States,12/03/2019,4.20223
United States,13/03/2019,2.54734
United States,13/03/2019,4.73165
United States,13/03/2019,0.190004
United States,13/03/2019,0.461316
United States,13/03/2019,2.53998
United States,13/03/2019,3.85464
United States,14/03/2019,2.4058
United States,14/03/2019,4.77647
United States,14/03/2019,0.202028
United States,14/03/2019,0.462001
United States,14/03/2019,2.2065
United States,14/03/2019,3.64045
United States,15/03/2019,2.33154
United States,15/03/2019,4.83115
United States,15/03/2019,0.209579
United States,15/03/2019,0.495112
United States,15/03/2019,2.27201
United States,15/03/2019,3.52809
United States,16/03/2019,2.48367
United States,16/03/2019,3.96563
United States,16/03/2019,0.21309
United States,16/03/2019,0.444625
United States,16/03/2019,2.63028
United States,16/03/2019,3.7583
United States,17/03/2019,2.49713
United States,17/03/2019,3.33507
United States,17/03/2019,0.212479
United States,17/03/2019,0.427217
United States,17/03/2019,2.7868
United States,17/03/2019,3.77867
United States,18/03/2019,2.53211
United States,18/03/2019,4.29023
United States,18/03/2019,0.205796
United States,18/03/2019,0.456006
United States,18/03/2019,2.73201
United States,18/03/2019,3.8316
United States,19/03/2019,2.78451
United States,19/03/2019,4.64154
United States,19/03/2019,0.200315
United States,19/03/2019,0.475841
United States,19/03/2019,2.66727
United States,19/03/2019,4.21353
United States,20/03/2019,2.65279
United States,20/03/2019,4.53216
United States,20/03/2019,0.194253
