country,year,temp_c,base,anom
Angola,1901,21.408333333333335,21.8125,-0.404166666666665
Angola,1902,21.45,21.8125,-0.3625000000000007
Angola,1903,21.474999999999998,21.8125,-0.33750000000000213
Angola,1904,21.366666666666664,21.8125,-0.4458333333333364
Angola,1905,21.40833333333333,21.8125,-0.40416666666666856
Angola,1906,21.3,21.8125,-0.5124999999999993
Angola,1907,21.316666666666666,21.8125,-0.49583333333333357
Angola,1908,21.375,21.8125,-0.4375
Angola,1909,21.391666666666666,21.8125,-0.4208333333333343
Angola,1910,21.441666666666666,21.8125,-0.37083333333333357
Angola,1911,21.5,21.8125,-0.3125
Angola,1912,21.45,21.8125,-0.3625000000000007
Angola,1913,21.46666666666667,21.8125,-0.34583333333333144
Angola,1914,21.383333333333336,21.8125,-0.4291666666666636
Angola,1915,21.40833333333333,21.8125,-0.40416666666666856
Angola,1916,21.358333333333334,21.8125,-0.4541666666666657
Angola,1917,21.40833333333333,21.8125,-0.40416666666666856
Angola,1918,21.275000000000002,21.8125,-0.5374999999999979
Angola,1919,21.3,21.8125,-0.5124999999999993
Angola,1920,21.40833333333333,21.8125,-0.40416666666666856
Angola,1921,21.416666666666668,21.8125,-0.39583333333333215
Angola,1922,21.516666666666666,21.8125,-0.2958333333333343
Angola,1923,21.416666666666668,21.8125,-0.39583333333333215
Angola,1924,21.483333333333334,21.8125,-0.3291666666666657
Angola,1925,21.316666666666666,21.8125,-0.49583333333333357
Angola,1926,21.366666666666664,21.8125,-0.4458333333333364
Angola,1927,21.375,21.8125,-0.4375
Angola,1928,21.558333333333334,21.8125,-0.25416666666666643
Angola,1929,21.400000000000002,21.8125,-0.41249999999999787
Angola,1930,21.391666666666666,21.8125,-0.4208333333333343
Angola,1931,21.55,21.8125,-0.2624999999999993
Angola,1932,21.34166666666667,21.8125,-0.47083333333333144
Angola,1933,21.525000000000002,21.8125,-0.28749999999999787
Angola,1934,21.599999999999998,21.8125,-0.21250000000000213
Angola,1935,21.45,21.8125,-0.3625000000000007
Angola,1936,21.333333333333332,21.8125,-0.47916666666666785
Angola,1937,21.416666666666668,21.8125,-0.39583333333333215
Angola,1938,21.483333333333334,21.8125,-0.3291666666666657
Angola,1939,21.508333333333336,21.8125,-0.3041666666666636
Angola,1940,21.733333333333334,21.8125,-0.07916666666666572
Angola,1941,21.891666666666666,21.8125,0.07916666666666572
Angola,1942,21.900000000000002,21.8125,0.08750000000000213
Angola,1943,21.633333333333336,21.8125,-0.1791666666666636
Angola,1944,21.816666666666666,21.8125,0.00416666666666643
Angola,1945,21.575,21.8125,-0.2375000000000007
Angola,1946,21.46666666666667,21.8125,-0.34583333333333144
Angola,1947,21.616666666666664,21.8125,-0.1958333333333364
Angola,1948,21.325,21.8125,-0.4875000000000007
Angola,1949,21.925,21.8125,0.11250000000000071
Angola,1950,21.59166666666667,21.8125,-0.22083333333333144
Angola,1951,21.483333333333334,21.8125,-0.3291666666666657
Angola,1952,21.683333333333334,21.8125,-0.12916666666666643
Angola,1953,21.375,21.8125,-0.4375
Angola,1954,21.291666666666668,21.8125,-0.5208333333333321
Angola,1955,21.333333333333332,21.8125,-0.47916666666666785
Angola,1956,21.241666666666667,21.8125,-0.5708333333333329
Angola,1957,21.608333333333334,21.8125,-0.20416666666666572
Angola,1958,21.46666666666667,21.8125,-0.34583333333333144
Angola,1959,21.55,21.8125,-0.2624999999999993
Angola,1960,21.55,21.8125,-0.2624999999999993
Angola,1961,21.275000000000002,21.8125,-0.5374999999999979
Angola,1962,21.3,21.8125,-0.5124999999999993
Angola,1963,21.325,21.8125,-0.4875000000000007
Angola,1964,21.283333333333335,21.8125,-0.529166666666665
Angola,1965,21.34166666666667,21.8125,-0.47083333333333144
Angola,1966,21.55,21.8125,-0.2624999999999993
Angola,1967,21.3,21.8125,-0.5124999999999993
Angola,1968,21.383333333333336,21.8125,-0.4291666666666636
Angola,1969,21.566666666666666,21.8125,-0.24583333333333357
Angola,1970,21.616666666666664,21.8125,-0.1958333333333364
Angola,1971,21.40833333333333,21.8125,-0.40416666666666856
Angola,1972,21.416666666666668,21.8125,-0.39583333333333215
Angola,1973,21.666666666666668,21.8125,-0.14583333333333215
Angola,1974,21.233333333333334,21.8125,-0.5791666666666657
Angola,1975,21.400000000000002,21.8125,-0.41249999999999787
Angola,1976,21.150000000000002,21.8125,-0.6624999999999979
Angola,1977,21.616666666666664,21.8125,-0.1958333333333364
Angola,1978,21.40833333333333,21.8125,-0.40416666666666856
Angola,1979,21.641666666666666,21.8125,-0.17083333333333428
Angola,1980,21.583333333333332,21.8125,-0.22916666666666785
Angola,1981,21.5,21.8125,-0.3125
Angola,1982,21.53333333333333,21.8125,-0.27916666666666856
Angola,1983,21.866666666666664,21.8125,0.05416666666666359
Angola,1984,21.775000000000002,21.8125,-0.03749999999999787
Angola,1985,21.71666666666667,21.8125,-0.09583333333333144
Angola,1986,21.575,21.8125,-0.2375000000000007
Angola,1987,22.041666666666668,21.8125,0.22916666666666785
Angola,1988,21.808333333333334,21.8125,-0.00416666666666643
Angola,1989,21.633333333333336,21.8125,-0.1791666666666636
Angola,1990,21.816666666666666,21.8125,0.00416666666666643
Angola,1991,21.641666666666666,21.8125,-0.17083333333333428
Angola,1992,21.8,21.8125,-0.01249999999999929
Angola,1993,21.65833333333333,21.8125,-0.15416666666666856
Angola,1994,21.724999999999998,21.8125,-0.08750000000000213
Angola,1995,22.016666666666666,21.8125,0.20416666666666572
Angola,1996,21.78333333333333,21.8125,-0.02916666666666856
